"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class SearchRecentSuggestionsProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. ||| returns Cursor a Cursor or null . |||",0.829544842,0.826553047,0.811751485,0.821220696,0.853083193,0.879922986,0.836365938,0.85901314,0.842607856,0.830124199,0.824147999,0.871483862,0.882163763,0.829132497,0.874958694,0.872723401,0.87694478,0.849563003,0.888189137,0.867152631,0.829478204,0.829544842,0.83461988,0.867465675,0.856694758,0.891859293,0.858329475,0.853151858,0.829478204,0.820319414,0.830004513,0.82938689,0.870339811,0.829773545,0.87694478,0.860329509,0.878005564,0.878046513,0.8216151,0.870160043,0.847651184,0.869495273,0.875474691,0.854712605,0.854512215,0.866600215,0.875606179
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class SearchRecentSuggestionsProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. ||| returns Cursor a Cursor or null . |||",0.4880513,0.48192808,0.48517668,0.47853547,0.481824,0.47783458,0.48448053,0.4793732,0.4731235,0.47854704,0.47798046,0.46813446,0.46996868,0.47360012,0.46313098,0.46777013,0.47794196,0.48047796,0.47099322,0.46659437,0.47963238,0.4880513,0.47900736,0.4705271,0.48265824,0.48033935,0.48244616,0.4762271,0.47963238,0.47193712,0.48488975,0.48309463,0.46700025,0.48280036,0.47794196,0.47351778,0.4669542,0.47670498,0.47799435,0.45244163,0.47551727,0.47526997,0.46601653,0.48147228,0.47775808,0.4795197,0.45215303
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class SearchRecentSuggestionsProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. ||| returns Cursor a Cursor or null . |||",0.127146155,0.117634833,0.129645541,-0.005799652,0.162763953,-0.029879747,0.073717736,0.065180369,0.050560851,-0.003894638,0.124700248,0.008229174,0.056422859,0.088052079,0.024932658,-0.07487686,0.042620528,0.047813952,0.047456075,0.085077934,0.030449323,0.127146155,0.110681161,0.128364995,0.01371074,0.028436642,0.200067431,-0.050750732,0.030449323,0.142162502,0.090351142,0.15248695,0.051367626,0.077939853,0.042620528,-0.01650179,0.168585956,0.055448353,0.03782567,0.01523862,-0.018048789,0.079294272,0.002895696,0.078283511,0.092115842,0.115257144,0.011873191
method getLatitude of class Address has parameters  returns double |||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLatitude of class Address has parameters  returns double |||,0.070833191,-0.034827013,0.090237923,0.017068345,0.05827219,0.007648513,0.039832219,0.114106178,0.083012067,0.043800861,0.326518238,0.163798541,0.256409913,0.098952085,0.027613815,0.084288932,-0.046060476,0.173788428,0.003060762,0.026326239,-0.074359968,0.070833191,0.118900239,0.31870836,-0.031597886,0.187027663,-0.018516311,-0.017737241,-0.074359968,0.07287515,-0.034557238,0.064720035,0.014826754,0.023821894,-0.046060476,0.115436524,0.033083078,0.051528808,0.099727914,0.055729084,-0.007970341,0.013559648,0.05170412,0.042728439,0.073104173,-0.016758563,0.074450955
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLatitude of class Address has parameters  returns double |||,0.147399634,0.068461776,-0.030417785,-0.001686036,0.115748674,0.126518175,0.092469826,0.192184493,0.086576253,0.129335612,0.39401257,0.211706728,0.312939584,0.100955158,0.142163873,0.141171783,0.106218338,0.217627868,0.019673245,0.151160449,0.075153537,0.147399634,0.158483669,0.357300758,-0.02439015,0.163116455,0.075086512,0.018845774,0.075153537,0.11020416,0.039068289,0.13281776,0.002109207,0.084091194,0.106218338,0.05735866,0.029977823,0.142501295,0.093538001,0.110596403,0.058863722,0.081197023,0.036269695,0.108104751,-0.007427296,0.091375306,0.124849275
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLatitude of class Address has parameters  returns double |||,0.876121998,0.87456584,0.864829302,0.877550781,0.893300474,0.918895781,0.884611249,0.897177219,0.892789304,0.878217459,0.876318455,0.913139045,0.921005309,0.879049361,0.905054629,0.914136887,0.907016098,0.90110147,0.921347976,0.90706563,0.879881561,0.876121998,0.881850123,0.916783392,0.900921047,0.925454021,0.897475779,0.901316702,0.879881561,0.870441377,0.871762395,0.876163661,0.898723722,0.877822876,0.907016098,0.905020475,0.906680286,0.903634667,0.873510897,0.909853399,0.89056617,0.907389939,0.911887407,0.901755691,0.90615654,0.89337641,0.900592387
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLatitude of class Address has parameters  returns double |||,0.30523008,0.29733047,0.30016395,0.13677461,0.1444695,0.15503392,0.06493906,0.019585442,0.15288417,0.23602293,0.48365617,0.06184982,0.28175995,0.04475848,0.054910388,0.002457625,0.064308055,0.24560548,0.1028865,0.009091809,0.113559864,0.30523008,0.11480482,0.40787846,0.07656764,0.22579005,0.16861264,0.073909014,0.113559864,0.03375342,0.3082682,0.3357262,0.066532046,0.24279378,0.064308055,0.10516306,0.037839606,0.009516528,0.05587367,0.002287332,0.15986165,0.073055536,0.006031724,0.07539902,0.13386557,0.04242269,0.00229307
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLatitude of class Address has parameters  returns double |||,0.094137065,0.035963282,0.026673084,0.054341946,0.109506637,0.058483511,0.156475693,0.171073481,0.165542379,0.128229588,0.426785916,0.171818763,0.320327401,0.092920095,0.098421052,0.053691056,0.029303454,0.182885617,0.094746321,0.142492905,-0.012739068,0.094137065,0.151934937,0.33633858,0.053810552,0.132037774,0.023590956,-0.022542734,-0.012739068,0.102055281,-0.019219872,0.149258822,-0.067022175,0.0709114,0.029303454,0.057016861,0.0765623,0.115280315,0.096982121,0.116901755,0.003061423,0.075855747,0.048481252,0.065207511,0.041484475,0.057267029,0.077652417
method getLongitude of class Address has parameters  returns double |||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLongitude of class Address has parameters  returns double |||,0.087034628,-0.029001614,0.117744796,0.030723106,0.065900207,0.013351101,0.076956995,0.11658635,0.08499825,0.058401205,0.318651706,0.163341954,0.237868994,0.094517812,0.011667385,0.077420339,-0.043304153,0.173789889,-0.009088312,0.041436575,-0.057979621,0.087034628,0.120359048,0.312809885,0.01430183,0.17863974,-0.013984401,-0.001981186,-0.057979621,0.06110581,-0.021494441,0.062873803,0.013940869,0.038263254,-0.043304153,0.109724559,0.030038822,0.048636131,0.119498268,0.066776022,-0.010257501,0.027034689,0.033052582,0.058631688,0.082519047,-0.034493715,0.087206751
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLongitude of class Address has parameters  returns double |||,0.097501636,0.043485124,-0.037371375,-0.006550086,0.11388056,0.08045096,0.079421714,0.175801516,0.080049172,0.097254716,0.342008829,0.181149751,0.257308573,0.042783868,0.082940906,0.12275286,0.05353101,0.179946408,0.014913812,0.140355617,0.036606811,0.097501636,0.109840028,0.289683938,-0.01725585,0.106687672,0.036371518,0.038707785,0.036606811,0.087025993,0.024863044,0.106366575,-0.026902068,0.063296601,0.05353101,0.051562168,0.019617459,0.098355949,0.054716632,0.089848623,0.043019891,0.053412911,0.02450528,0.074544221,-0.041185375,0.081208646,0.07851702
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLongitude of class Address has parameters  returns double |||,0.875354409,0.873197258,0.863307476,0.876253486,0.892963469,0.918915331,0.883540392,0.897364616,0.891876698,0.877627075,0.874767959,0.913375616,0.921482503,0.877964199,0.904299915,0.914268851,0.906623542,0.900556445,0.921471715,0.907016814,0.878407598,0.875354409,0.880530596,0.916614532,0.900512457,0.925005555,0.89625746,0.900607169,0.878407598,0.869104266,0.870872617,0.874995947,0.897884488,0.876742899,0.906623542,0.904248118,0.906534612,0.903477669,0.872189164,0.910107791,0.890216768,0.906367958,0.911809802,0.901213109,0.905223012,0.892549694,0.900950551
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLongitude of class Address has parameters  returns double |||,0.26742285,0.27120018,0.26833004,0.11579471,0.116196446,0.11335229,0.04533586,0.013071215,0.13496494,0.19670376,0.46811143,0.039143153,0.24449632,0.029716726,0.037133496,0.002840294,0.04212733,0.23433107,0.086491056,0.009606258,0.075088724,0.26742285,0.09982127,0.39790872,0.06278093,0.20978372,0.13392395,0.0666033,0.075088724,0.031365238,0.28755873,0.307518,0.039189443,0.1950129,0.04212733,0.074614875,0.015103786,0.004919456,0.04043406,0.002275011,0.14848171,0.0665809,0.004096692,0.0479675,0.11907239,0.037919555,0.002314538
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLongitude of class Address has parameters  returns double |||,0.057279222,0.013466634,-0.000552228,0.091159597,0.12290857,0.010653837,0.150658607,0.15777877,0.139530063,0.101582751,0.361081511,0.15119949,0.258877933,0.073830634,0.052904014,0.079889074,-0.008259158,0.152001262,0.051905204,0.156768978,-0.046747107,0.057279222,0.144777164,0.282059044,0.073090293,0.070002489,-0.030967094,0.011088585,-0.046747107,0.069627546,-0.054645751,0.093054235,-0.078043103,0.055636846,-0.008259158,0.052502014,0.036123112,0.059642512,0.081398532,0.090743065,0.049514502,0.059776403,0.045877296,0.053227872,0.012038973,0.045363501,0.055050984
"method getLatitude of class Location has parameters  returns double latitude of this location
 
 Value is between -90.0 and 90.0 inclusive |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLatitude of class Location has parameters  returns double latitude of this location
 
 Value is between -90.0 and 90.0 inclusive |||",-0.032751642,0.017139416,0.046189126,-0.05187396,0.017737439,0.051125899,-0.027022596,-0.043647319,0.034784436,-0.032776125,0.20368275,0.12657544,0.238831609,0.185547411,-0.017765526,0.117843702,0.022351637,0.038074017,-0.019497652,0.012276178,-0.093218878,-0.032751642,0.331063211,0.222717941,0.059647791,0.121711873,0.065281242,0.108056769,-0.093218878,-0.009267556,0.000553243,0.007180481,0.0085935,0.037648268,0.022351637,0.028662011,0.023013052,0.03789784,0.052307598,0.038392399,-0.015276123,0.028633919,0.063808851,-0.024593949,-0.025895216,-0.043623313,0.006497425
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLatitude of class Location has parameters  returns double latitude of this location
 
 Value is between -90.0 and 90.0 inclusive |||",0.108662531,0.080443487,-0.027801488,0.004923116,0.073321864,0.051401883,0.036745239,0.080077253,0.023104735,0.042027503,0.23790662,0.158208758,0.239364728,0.181430936,0.097695008,0.128894538,0.120011017,0.076413184,-0.014338091,0.103946008,0.053107269,0.108662531,0.328536272,0.245410055,-0.020352552,0.098517805,0.151277035,0.034298539,0.053107269,0.057953894,0.037792806,0.08570902,0.010862918,0.057600882,0.120011017,-0.008632955,0.029544268,0.11072918,0.050534822,0.045543551,0.039720159,0.052323464,0.048621867,0.097741194,-0.035509888,0.039100308,0.056695931
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLatitude of class Location has parameters  returns double latitude of this location
 
 Value is between -90.0 and 90.0 inclusive |||",0.846999049,0.844228804,0.835371971,0.846185446,0.875238776,0.899514854,0.857803106,0.88885808,0.864924133,0.850883007,0.846772254,0.902923524,0.914305806,0.853210628,0.88824296,0.907055676,0.893853605,0.879819036,0.918263137,0.89100647,0.852239907,0.846999049,0.861002505,0.894997418,0.884514272,0.912632883,0.881790817,0.883825719,0.852239907,0.841475904,0.847153425,0.849552989,0.88471663,0.848941565,0.893853605,0.888962865,0.894485593,0.894489765,0.844431877,0.894151807,0.868775189,0.892329752,0.896487236,0.888302565,0.889593422,0.87847507,0.896617174
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLatitude of class Location has parameters  returns double latitude of this location
 
 Value is between -90.0 and 90.0 inclusive |||",0.39097458,0.37189123,0.34209538,0.21794215,0.22890714,0.16870336,0.20718369,0.12089327,0.17483427,0.28527468,0.3257774,0.100342505,0.19385648,0.2316847,0.16404034,0.11198728,0.20722981,0.28021243,0.15039016,0.17051709,0.23682204,0.39097458,0.50882983,0.2668251,0.20790724,0.34083435,0.37321004,0.23150508,0.23682204,0.19355524,0.37469757,0.3709626,0.18604353,0.28462994,0.20722981,0.1666814,0.1762854,0.15765825,0.11335214,0.12078153,0.25478405,0.23222344,0.1527586,0.17481844,0.18784654,0.19568835,0.11154118
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLatitude of class Location has parameters  returns double latitude of this location
 
 Value is between -90.0 and 90.0 inclusive |||",0.056851983,0.099227697,-0.020136185,0.065928757,0.073549226,0.036259562,0.057673663,0.047462061,0.057178948,0.066898346,0.24686867,0.150755763,0.23803091,0.228469431,0.096307442,0.091641113,0.04247237,0.048187975,0.044892438,0.116951182,0.023028906,0.056851983,0.400886476,0.242688566,0.025028532,0.092564136,0.137861252,0.062899411,0.023028906,0.048334897,0.05264106,0.117015138,-0.035392236,0.022179907,0.04247237,-0.015459038,0.069384888,0.067213148,0.055512201,0.090914935,-0.025421871,0.100213774,0.103518985,0.038782254,0.038229514,0.042644348,0.038708452
"method getLongitude of class Location has parameters  returns double longitude of this location
 
 Value is between -180.0 and 180.0 inclusive |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLongitude of class Location has parameters  returns double longitude of this location
 
 Value is between -180.0 and 180.0 inclusive |||",-0.016418315,0.030456506,0.07060609,-0.046121549,0.047553971,0.056903191,0.006636117,-0.015360381,0.040912043,-0.010941143,0.221816972,0.149008691,0.213414013,0.134406954,-0.003832128,0.122396216,0.0167908,0.072832324,-0.038255181,0.027789084,-0.073344044,-0.016418315,0.295273244,0.232531339,0.070852473,0.12407358,0.087309271,0.109259836,-0.073344044,-0.015249182,-0.004371692,0.022918409,-0.00250495,0.059431851,0.0167908,0.028775517,0.018832251,0.04102274,0.088656656,0.075298481,-0.056112919,0.023329776,0.01877477,0.01963456,-0.005490255,-0.039736632,0.033744141
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLongitude of class Location has parameters  returns double longitude of this location
 
 Value is between -180.0 and 180.0 inclusive |||",0.074503578,0.067240953,-0.027284382,-0.001768956,0.077439822,0.018082367,0.041973472,0.092431128,0.023896966,0.022362024,0.234040514,0.136166215,0.209002346,0.158472434,0.070618547,0.138450593,0.083111055,0.073433176,-0.012930192,0.102928326,0.032751508,0.074503578,0.299313486,0.227163166,0.016079813,0.077107474,0.132254571,0.054474771,0.032751508,0.051896147,0.027620954,0.080825523,-0.011306601,0.041816641,0.083111055,0.002613476,0.031530716,0.085696578,0.023081351,0.042457886,0.04503962,0.026231922,0.056333683,0.06557899,-0.051242448,0.056027181,0.027816081
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLongitude of class Location has parameters  returns double longitude of this location
 
 Value is between -180.0 and 180.0 inclusive |||",0.84569943,0.842167735,0.833396971,0.844767809,0.874450862,0.900060833,0.855909884,0.888658166,0.863483131,0.849774897,0.844271898,0.903330266,0.915758967,0.851519883,0.887622535,0.906386256,0.893154383,0.87774992,0.916913688,0.891159534,0.849924147,0.84569943,0.859409273,0.894836724,0.884966791,0.910782695,0.880950749,0.882416308,0.849924147,0.838898778,0.844639361,0.84752053,0.883580387,0.847573102,0.893154383,0.888100266,0.892467499,0.893667877,0.842648685,0.893637061,0.867051482,0.890827715,0.895417571,0.887484491,0.887953103,0.877073705,0.895278275
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLongitude of class Location has parameters  returns double longitude of this location
 
 Value is between -180.0 and 180.0 inclusive |||",0.36069122,0.33988902,0.28924316,0.19178724,0.1742786,0.12861541,0.17841615,0.09416141,0.1601295,0.216244,0.28178033,0.08018044,0.13070871,0.18187702,0.13078308,0.0895665,0.18647423,0.25577578,0.13008678,0.13056266,0.18601933,0.36069122,0.4943068,0.21508792,0.17414747,0.31362748,0.31396303,0.18642208,0.18601933,0.14014076,0.33144704,0.33703277,0.14102866,0.22954738,0.18647423,0.10559218,0.12113315,0.12957455,0.09734784,0.09405316,0.23044814,0.20238052,0.13081343,0.12677924,0.16392754,0.16294369,0.08279953
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getLongitude of class Location has parameters  returns double longitude of this location
 
 Value is between -180.0 and 180.0 inclusive |||",0.062713496,0.074802279,-0.02015792,0.109503895,0.095512137,-0.029890293,0.083029181,0.053070564,0.034680113,0.041300319,0.232909471,0.130322292,0.207092553,0.221024066,0.061975874,0.12377198,0.023750277,0.062692612,0.00383826,0.142719701,-0.022126326,0.062713496,0.392884314,0.222222835,0.076940402,0.061161414,0.105722703,0.07807263,-0.022126326,0.026587358,0.012281248,0.098813884,-0.058146987,0.001760583,0.023750277,0.018105488,0.042233225,0.043185204,0.065426193,0.083681665,0.023147566,0.075979307,0.096070498,0.035262141,0.000965748,0.044854205,0.037115958
method getLastKnownLocation of class LocationManager has parameters provider String : a provider listed by getAllProviders() This value cannot be null . ||| returns Location the last known location for the given provider or null if not available |||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLastKnownLocation of class LocationManager has parameters provider String : a provider listed by getAllProviders() This value cannot be null . ||| returns Location the last known location for the given provider or null if not available |||,0.067740276,0.015766185,-0.007764637,-0.043076932,0.01732594,0.034384519,-0.003127478,-0.013352614,0.017082818,-0.002185633,0.250143945,0.144043237,0.218153849,0.151236221,0.08494506,0.107014611,0.081302926,0.068172969,0.017679041,0.025649961,-0.07801602,0.067740276,0.320449769,0.220835313,0.092163391,0.142613083,0.113814488,0.021633394,-0.07801602,0.006204053,-0.010420383,0.110086836,0.080784,0.033987507,0.081302926,0.022653738,0.136404142,0.137887329,0.130092382,0.034404442,-0.007495962,0.022628233,0.019339349,0.007436566,0.028518796,-0.002758709,0.138590068
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLastKnownLocation of class LocationManager has parameters provider String : a provider listed by getAllProviders() This value cannot be null . ||| returns Location the last known location for the given provider or null if not available |||,0.113339975,0.0636869,-0.100881509,-0.024344673,0.062636524,0.058452852,0.05668167,0.104896814,0.025083803,-0.006194986,0.231293216,0.125932559,0.221295238,0.175028592,0.169395536,0.105207182,0.139330044,0.042425506,0.010675941,0.031799577,0.074917585,0.113339975,0.315765619,0.24604848,0.034135304,0.087855399,0.158486202,0.043981042,0.074917585,0.005158244,-0.03471541,0.149822131,0.079859875,0.05498407,0.139330044,0.028473711,0.092032388,0.148353338,0.042316183,0.050721377,0.092373133,-0.050023604,0.137354523,0.039771035,-0.030931562,0.041839346,0.107775077
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLastKnownLocation of class LocationManager has parameters provider String : a provider listed by getAllProviders() This value cannot be null . ||| returns Location the last known location for the given provider or null if not available |||,0.821823061,0.815712273,0.804119587,0.817578077,0.855829656,0.885574877,0.832333028,0.877261162,0.841433883,0.826411188,0.819001138,0.888735652,0.902277231,0.82526499,0.869619071,0.892244279,0.876546204,0.860714436,0.905658484,0.872566342,0.826352835,0.821823061,0.83636117,0.874162436,0.866093934,0.894396424,0.860755742,0.864625633,0.826352835,0.814305127,0.821067214,0.821456969,0.864556789,0.822651863,0.876546204,0.867674232,0.878176212,0.878614426,0.817710221,0.878783047,0.845070601,0.871595204,0.878078401,0.872281432,0.871444046,0.856985569,0.887568712
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLastKnownLocation of class LocationManager has parameters provider String : a provider listed by getAllProviders() This value cannot be null . ||| returns Location the last known location for the given provider or null if not available |||,0.5596819,0.5174766,0.60338324,0.49379596,0.4663469,0.31800792,0.4246556,0.17108758,0.36679012,0.52094173,0.43398613,0.18682031,0.36718464,0.48481548,0.38942176,0.26923534,0.46312654,0.38919407,0.3726968,0.31678545,0.46963188,0.5596819,0.58886415,0.24541757,0.30356544,0.51124144,0.53519225,0.38340527,0.46963188,0.36837968,0.567064,0.54485846,0.45267552,0.49091098,0.46312654,0.24520001,0.4665852,0.44020912,0.29918393,0.17229469,0.3106402,0.39927873,0.19128641,0.35998863,0.36576867,0.5004835,0.11613549
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getLastKnownLocation of class LocationManager has parameters provider String : a provider listed by getAllProviders() This value cannot be null . ||| returns Location the last known location for the given provider or null if not available |||,0.139832199,0.07696262,0.023906894,0.055383779,0.116156593,0.023678243,0.121356562,0.131598711,0.069314241,-0.001037125,0.247575432,0.094328135,0.223994851,0.168294251,0.200805008,0.030086197,0.132041246,0.08340165,0.07239835,0.075608626,0.085335851,0.139832199,0.340242594,0.209498376,0.058179542,0.116365835,0.139558211,-0.006149294,0.085335851,0.053489432,0.006523456,0.242046177,0.086090475,0.079201505,0.132041246,0.042617172,0.155518278,0.190469995,0.076255724,0.080648094,0.053056259,0.02228038,0.059607364,0.031448118,0.03746137,0.107419662,0.110084198
method getInputStream of class LocalSocket has parameters  returns InputStream input stream |||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method getInputStream of class LocalSocket has parameters  returns InputStream input stream |||,0.055350639,0.04836151,0.048840113,-0.01092677,0.029054169,0.028332924,0.050104361,0.039013647,0.09906888,0.016040064,0.088382006,0.087683991,0.046838548,0.083193876,0.07480552,0.041154914,0.046821721,0.040818356,-0.033774752,-0.005122206,-0.038716879,0.055350639,0.133819014,0.134507954,-0.089427531,0.122395709,-0.059139416,-0.015341291,-0.038716879,0.078027464,0.021880895,0.038242951,0.047786061,0.061672658,0.046821721,0.002095013,0.018432617,0.044156924,0.099761516,-0.009048984,0.034358643,0.069569737,0.033260554,-0.066879869,0.019900918,0.011934262,0.056803729
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
